Category,2er,3er,4er,Type,Card Name,Age,MA cost,,,,Rival,Aggressor
Aggression,2,2,2,Aggression,Enslave,I,2,,,, Loses 1 population,Produces 3 resources
,2,2,2,Aggression,Plunder,I,2,,,,Loses a total of 3 resources/food,Produces same amount
,2,2,2,Aggression,Raid,I,1,,,,Loses 1 urban building,Produces resources = 1/2 cost round up
,,,,,,,,,,,,
,1,1,1,Aggression,Annex,II,2,,,,Loses 1 colony & permanent bonus,Gain 1 colony & permanent bonus
,1,1,1,Aggression,Assassinate,II,?,,,,Discards leader,Scores 3 culture per level; MA cost is 1 per level
,2,2,2,Aggression,Plunder,II,2,,,,Loses a total of 5 resources/food,Produces same amount
,2,2,2,Aggression,Raid,II,2,,,,Loses up to 2 urban building of same type & level,Produces resources = 1/2 cost round down
,1,1,1,Aggression,Sabotage,II,?,,,,Discards wonder under construction,Scores 3 culture per level; MA cost is 1 per level
,2,2,2,Aggression,Spy,II,1,,,,Loses up to 5 science,Scores same amount
,,,,,,,,,,,,
,4,4,4,Aggression,Armed Intervention,III,2,,,,Loses 7 culture,Scores 7 culture
,2,2,2,Aggression,Plunder,III,2,,,,Loses 8 resources/food,Produces same amount
,2,2,2,Aggression,Raid,III,3,,,,Loses up to 3 urban building of same type & level,Produces resource = 1/2 cost round down
