Category,2er,3er,4er,Type,Card Name,Age,Tech cost,Build cost,Food,Resource,Culture,Strength,Happy,Science,CA,MA,Card text and comments
,,,,,,,,,,,,,,,,,
Production,2,3,4,Farm,Agriculture,A,0,2,1,,,,,,,,
,2,2,3,Farm,Irrigation,I,3,4,2,,,,,,,,
,1,2,2,Farm,Selective Breeding,II,5,6,3,,,,,,,,
,1,2,2,Farm,Mechanized Agriculture,III,7,8,5,,,,,,,,
,,,,,,,,,,,,,,,,,
,2,3,4,Mine,Bronze,A,0,2,,1,,,,,,,
,2,2,3,Mine,Iron,I,5,5,,2,,,,,,,
,1,2,2,Mine,Coal,II,7,8,,3,,,,,,,
,1,2,2,Mine,Oil,III,9,11,,5,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Urban,2,3,4,Temple,Religion,A,0,3,,,1,,1,,,,
,1,2,2,Temple,Theology,I,2,5,,,1,,2,,,,
,2,2,2,Temple,Organized Religion,II,4,7,,,1,,3,,,,
,,,,,,,,,,,,,,,,,
,2,3,4,Lab,Philosophy,A,0,3,,,,,,1,,,
,2,2,3,Lab,Alchemy,I,4,6,,,,,,2,,,
,2,2,2,Lab,Scientific Method,II,6,8,,,,,,3,,,
,2,2,2,Lab,Computers,III,8,10,,,,,,5,,,
,,,,,,,,,,,,,,,,,
,1,2,2,Arena,Bread and Circuses,I,3,4,,,,1,2,,,,
,1,1,1,Arena,Team Sports,II,5,6,,,,2,3,,,,
,1,1,2,Arena,Professional Sports,III,7,8,,,,3,4,,,,
,,,,,,,,,,,,,,,,,
,2,2,2,Library,Printing Press,I,3,4,,,1,,,1,,,
,2,2,3,Library,Journalism,II,6,8,,,2,,,2,,,
,2,2,2,Library,Multimedia,III,9,11,,,3,,,3,,,
,,,,,,,,,,,,,,,,,
,2,2,2,Theater,Drama,I,4,5,,,2,,1,,,,
,2,2,2,Theater,Opera,II,7,9,,,3,,1,,,,
,2,2,2,Theater,Movies,III,10,12,,,4,,1,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Military,2,3,4,Infantry,Warriors,A,0,2,,,,1,,,,,
,2,2,3,Infantry,Swordsmen,I,3,3,,,,2,,,,,
,1,2,2,Infantry,Riflemen,II,5,5,,,,3,,,,,
,1,2,2,Infantry,Modern Infantry,III,8,7,,,,5,,,,,
,,,,,,,,,,,,,,,,,
,2,2,3,Cavalry,Knights,I,4,3,,,,2,,,,,
,2,2,3,Cavalry,Calvarymen,II,6,5,,,,3,,,,,
,1,2,2,Cavalry,Tanks,III,9,7,,,,5,,,,,
,,,,,,,,,,,,,,,,,
,2,2,3,Artillery,Cannon,II,7,5,,,,3,,,,,
,2,2,3,Artillery,Rockets,III,10,7,,,,5,,,,,
,,,,,,,,,,,,,,,,,
,2,2,3,Air Force,Air Forces,III,11,7,,,,5,,,,,Each unit also doubles the Tactics card bonus for 1 army
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Wonder,1,1,1,Wonder,Hanging Gardens,A,,2 2 2,,,1,,2,,,,
,1,1,1,Wonder,Library of Alexandria,A,,1 2 2 1,,,1,,,1,,,You may have 1 extra civil and 1 extra military card in your hand
,1,1,1,Wonder,Colossus,A,,3 3,,,1,1,,,,,You have +1 bonus when colonizing a new territory
,1,1,1,Wonder,Pyramids,A,,3 2 1,,,,,,,1,,
,,,,,,,,,,,,,,,,,
,1,1,1,Wonder,Great Wall,I,,2 2 3 2,,,1,?,1,,,,Adds +1 to your strength for each infantry and artillery unit
,1,1,1,Wonder,St. Peter's Basilica,I,,4 4,,,2,,?,,,,Each of your happy faces counts twice
,1,1,1,Wonder,Universitas Carolina,I,,3 3 3,,,1,,,2,,,
,1,1,1,Wonder,Taj Mahal,I,,2 4 2,,,3,,,,,,
,,,,,,,,,,,,,,,,,
,1,1,1,Wonder,Transcontinental Railroad,II,,3 4 5,,?,,5,,,,,One of your best mines produces twice as many resources
,1,1,1,Wonder,Eiffel Tower,II,,3 7 3,,,4,,1,,,,
,1,1,1,Wonder,Kremlin,II,,4 4 4,,,3,,-2,,1,1,
,1,1,1,Wonder,Ocean Liner Service,II,,3 2 2 2 3,,,,,,,,,"Once per turn, you can increase your population without a civil action for 5 food less"
,,,,,,,,,,,,,,,,,
