Category,2er,3er,4er,Type,Card Name,Age,Inf,Cav,Arty,Army bonus
Tactics,3,3,3,Tactics,Fighting Band,I,2,,,1
,2,2,2,Tactics,Heavy Cavalry,I,,3,,4
,2,2,2,Tactics,Legion,I,3,,,2
,2,2,2,Tactics,Light Cavalry,I,,2,,2
,3,3,3,Tactics,Medieval Army,I,1,1,,2
,3,3,3,Tactics,Phalanx,I,2,1,,3
,1,1,1,Tactics,Classic Army,II,2,2,,9 (5)
,2,2,2,Tactics,Conquistadors,II,1,2,,5 (3)
,2,2,2,Tactics,Defensive Army,II,2,,1,6 (3)
,1,1,1,Tactics,Fortifications,II,,,2,4
,1,1,1,Tactics,Mobile Artillery,II,,1,1,5
,1,1,1,Tactics,Napoleonic Army,II,1,1,1,8 (4)
,2,2,2,Tactics,Entrenchments,III,1,,2,9 (5)
,2,2,2,Tactics,Mechanized Army,III,,1,2,10 (5)
,2,2,2,Tactics,Modern Army,III,2,1,1,13 (7)
,2,2,2,Tactics,Shock Troops,III,1,3,,11 (6)
